Python,Method,Size,mean,std
3.6.12,httpclient,1000000128,896394335.7951062,1470640.4672806181
3.6.12,httpclient-na,1000000128,1334285712.6887465,10872991.26407804
3.6.12,requests,1000000128,501327838.2923522,889863.9808710957
3.6.12,requests-c1M,1000000128,1037126378.1310364,931726.6431228797
3.6.12,requests-stream,1000000128,1317939698.3232226,13152510.483475493
3.6.12,requests-stream-fp-read,1000000128,1372623341.4475188,9379376.625730215
3.6.12,requests-np,1000000128,763873962.3775957,712365.6886524778
3.6.12,requests-np-fp,1000000128,3033031920.417884,10499091.47310148
3.6.12,urllib3,1000000128,1370583687.171043,8901435.701316724
3.6.12,tornado,1000000128,867577455.0952005,1257864.0343573133
3.6.12,aiohttp,1000000128,995520251.1995187,1065279.3601810809
3.6.12,httpx,1000000128,709471494.0129924,1488517.7893183024
3.6.12,socket-read,1000000128,3218897849.972892,8416867.626580609
3.6.12,socket-readinto,1000000128,1481894503.059755,2086356.0689358336
