Python,Method,Size,mean,std
3.8.2,httpclient,1000000128,892312259.5318469,617136.8633003735
3.8.2,httpclient-na,1000000128,3232940218.946039,10629510.363392018
3.8.2,requests,1000000128,578290286.3359193,582329.9907458574
3.8.2,requests-c1M,1000000128,1035927390.1084493,1048788.3293138973
3.8.2,requests-stream,1000000128,3239697037.189755,11860004.572737457
3.8.2,requests-stream-fp-read,1000000128,3242182079.765612,24647998.200845405
3.8.2,urllib3,1000000128,3221935251.115823,13119180.557147255
3.8.2,tornado,1000000128,800596544.2945793,2477678.419231793
3.8.2,aiohttp,1000000128,1001513144.514077,1591921.7000853673
3.8.2,httpx,1000000128,671883958.3251163,1024247.6741296141
3.8.2,socket-read,1000000128,3219728609.1819425,26624365.743673313
3.8.2,socket-readinto,1000000128,1465947871.7212918,4524342.833395769
