Python,Method,Size,mean,std
3.7.9,httpclient,1000000128,837195062.6847566,14017727.883125022
3.7.9,httpclient-na,1000000128,1355072027.2125618,11700542.973779133
3.7.9,requests,1000000128,465089254.43387485,463385.20534733037
3.7.9,requests-c1M,1000000128,1029847672.300744,1422892.7148436427
3.7.9,requests-stream,1000000128,1366483096.4305885,11631249.860966645
3.7.9,requests-stream-fp-read,1000000128,1339319580.6625638,15929681.652412502
3.7.9,urllib3,1000000128,1381450578.8835824,2706285.510515318
3.7.9,tornado,1000000128,789897833.3409438,1125631.6780015342
3.7.9,aiohttp,1000000128,857718285.677041,1537296.015447677
3.7.9,httpx,1000000128,830949490.9895412,1868813.6541064847
3.7.9,socket-read,1000000128,3302736895.841746,10882724.34271628
3.7.9,socket-readinto,1000000128,1487827387.2057028,2810829.3225607495
